MAV,RMS,VAR,WL,ZC,SSC,WAMP,IEMG,label,start_time,end_time
5.875,7.292976072907411,53.1875,20.0,1,0,3,23.5,REST,1763806759.26831,1763806759.282028
5.5,6.123724356957945,37.5,31.0,3,2,3,22.0,REST,1763806759.281784,1763806759.282269
6.0,7.483314773547883,56.0,28.0,1,1,3,24.0,REST,1763806759.28215,1763806759.282496
7.75,9.12071817347735,83.1875,36.0,1,1,3,31.0,REST,1763806759.282383,1763806759.282762
6.0,6.726812023536855,45.25,29.0,2,1,3,24.0,REST,1763806759.282623,1763806759.450326
11.25,12.152674602736633,147.6875,42.0,1,1,2,45.0,REST,1763806759.282903,1763806759.8461
17.75,17.83781096435322,318.1875,43.0,1,1,2,71.0,REST,1763806759.650941,1763806760.2461
6.75,8.166241485530538,66.6875,22.0,1,0,3,27.0,REST,1763806760.046128,1763806760.656613
3.75,4.55521678957215,20.75,18.0,1,2,3,15.0,REST,1763806760.4581,1763806761.046107
2.5,3.082207001484488,9.5,11.0,1,1,3,10.0,REST,1763806760.849165,1763806761.446146
7.25,7.790218225441442,60.6875,20.0,1,1,3,29.0,REST,1763806761.246119,1763806761.857392
2.75,2.8613807855648994,8.1875,7.0,1,0,3,11.0,REST,1763806761.646117,1763806762.246132
1.375,1.7853571071357126,3.1875,10.0,2,2,3,5.5,REST,1763806762.046152,1763806762.646173
8.625,10.034316120194738,100.6875,30.0,1,2,3,34.5,REST,1763806762.446132,1763806763.055751
11.0,13.19090595827292,174.0,58.0,2,1,3,44.0,REST,1763806762.846183,1763806763.44619
6.25,7.399324293474371,54.75,40.0,2,2,3,25.0,REST,1763806763.246502,1763806763.846547
9.0,11.045361017187261,122.0,48.0,1,2,3,36.0,REST,1763806763.64621,1763806764.253381
5.0,6.422616289332565,41.25,29.0,3,2,3,20.0,REST,1763806764.046207,1763806764.646201
6.875,8.317902379807062,69.1875,47.0,2,2,3,27.5,REST,1763806764.446548,1763806765.046235
13.875,16.498105951896417,272.1875,82.0,2,2,3,55.5,REST,1763806764.846227,1763806765.451273
20.75,21.533404282648853,463.6875,86.0,2,1,3,83.0,REST,1763806765.246235,1763806765.846253
14.25,18.364367672206956,337.25,73.0,1,1,3,57.0,REST,1763806765.646547,1763806766.246257
21.25,23.220411279734044,539.1875,58.0,1,0,3,85.0,REST,1763806766.046244,1763806766.653357
10.875,12.93010054098575,167.1875,34.0,1,0,3,43.5,REST,1763806766.446265,1763806767.046281
6.25,7.048936089935842,49.6875,26.0,1,1,3,25.0,REST,1763806766.847353,1763806767.446283
3.25,3.6996621467371855,13.6875,16.0,3,2,3,13.0,REST,1763806767.246299,1763806767.857066
5.25,5.584576975922169,31.1875,26.0,2,1,3,21.0,REST,1763806767.646297,1763806768.246305
14.75,17.741194999210173,314.75,100.0,2,2,3,59.0,REST,1763806768.046627,1763806768.646321
18.0,22.588713996153036,510.25,81.0,3,2,3,72.0,REST,1763806768.44631,1763806769.056264
10.5,11.853269591129697,140.5,63.0,3,2,3,42.0,REST,1763806768.846607,1763806769.446353
9.0,9.695359714832659,94.0,24.0,1,0,3,36.0,REST,1763806769.248641,1763806769.846347
10.0,11.575836902790225,134.0,30.0,1,1,3,40.0,REST,1763806769.646353,1763806770.249216
12.75,15.913830462839549,253.25,43.0,1,0,3,51.0,REST,1763806770.04635,1763806770.646361
9.5,11.532562594670797,133.0,40.0,1,1,3,38.0,REST,1763806770.446365,1763806771.046454
9.375,11.299889379989523,127.6875,38.0,1,1,3,37.5,REST,1763806770.846991,1763806771.448557
3.625,4.437059837324712,19.6875,14.0,1,2,3,14.5,REST,1763806771.246933,1763806771.846394
2.75,3.344772040064913,11.1875,13.0,3,2,3,11.0,REST,1763806771.646549,1763806772.246715
2.375,2.8613807855648994,8.1875,14.0,2,1,3,9.5,REST,1763806772.046404,1763806772.650641
8.5,10.23474474522936,104.75,28.0,1,1,3,34.0,REST,1763806772.44644,1763806773.046419
193.0,223.02466231338633,49740.0,544.0,1,1,3,772.0,REST,1763806772.846916,1763806773.446441
189.0,218.23840175367854,47628.0,504.0,1,0,1,756.0,REST,1763806773.246424,1763806773.84642
0.0,0.0,0.0,0.0,0,0,0,0.0,REST,1763806773.658816,1763806774.246465
