timestamp,value,event
1763660164.237942,931.0,UP
1763660170.831161,1.0,DOWN
1763660184.300394,964.0,UP
1763660188.569557,45.0,DOWN
1763660266.480285,874.0,UP
1763660271.597403,919.0,UP
1763660279.179046,852.0,UP
1763660284.262358,119.0,DOWN
1763661027.764073,132.0,DOWN
1763661037.418285,59.0,DOWN
1763661134.590498,77.0,DOWN
1763661146.402790,47.0,DOWN
1763661185.926704,90.0,DOWN
1763661375.301751,11.0,DOWN
1763661381.397514,1009.0,UP
1763661382.108181,49.0,DOWN
1763661398.781569,973.0,UP
1763661401.838310,53.0,DOWN
1763661408.606471,985.0,UP
1763661416.765977,923.0,UP
1763661417.637003,29.0,DOWN
